line,sid,msg,status,category,reason,rule
77,272,OS-WINDOWS Microsoft WIndows IGMP dos attack,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""OS-WINDOWS Microsoft WIndows IGMP dos attack""; fragbits:M+; ip_proto:2; metadata:ruleset community; reference:bugtraq,514; reference:cve,1999-0918; reference:url,technet.microsoft.com/en-us/security/bulletin/MS99-034; classtype:attempted-dos; sid:272; rev:16; )"
83,281,SERVER-OTHER Ascend Route,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert udp $EXTERNAL_NET any -> $HOME_NET 9 ( msg:""SERVER-OTHER Ascend Route""; flow:to_server; content:""NAMENAME"",depth 50,offset 25; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,714; reference:cve,1999-0060; classtype:attempted-dos; sid:281; rev:13; )"
117,331,PROTOCOL-FINGER cybercop query,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert tcp $EXTERNAL_NET any -> $HOME_NET 79 ( msg:""PROTOCOL-FINGER cybercop query""; flow:to_server,established; content:""|0A|     "",depth 10; metadata:ruleset community; reference:cve,1999-0612; classtype:attempted-recon; sid:331; rev:16; )"
134,363,PROTOCOL-ICMP IRDP router advertisement,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IRDP router advertisement""; itype:9; metadata:ruleset community; reference:bugtraq,578; reference:cve,1999-0875; classtype:misc-activity; sid:363; rev:11; )"
135,364,PROTOCOL-ICMP IRDP router selection,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IRDP router selection""; itype:10; metadata:ruleset community; reference:bugtraq,578; reference:cve,1999-0875; classtype:misc-activity; sid:364; rev:11; )"
136,365,PROTOCOL-ICMP PING undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING undefined code""; icode:>0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:365; rev:11; )"
137,366,PROTOCOL-ICMP PING Unix,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Unix""; itype:8; content:""|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:366; rev:11; )"
138,368,PROTOCOL-ICMP PING BSDtype,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING BSDtype""; itype:8; content:""|08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:368; rev:10; )"
139,369,PROTOCOL-ICMP PING BayRS Router,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING BayRS Router""; itype:8; content:""|01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:369; rev:10; )"
140,370,PROTOCOL-ICMP PING BeOS4.x,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING BeOS4.x""; itype:8; content:""|00 00 00 00 00 00 00 00 00 00 00 00 08 09 0A 0B|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:370; rev:11; )"
141,371,PROTOCOL-ICMP PING Cisco Type.x,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Cisco Type.x""; itype:8; content:""|AB CD AB CD AB CD AB CD AB CD AB CD AB CD AB CD|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:371; rev:11; )"
142,372,PROTOCOL-ICMP PING Delphi-Piette Windows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Delphi-Piette Windows""; itype:8; content:""Pinging from Del"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:372; rev:11; )"
143,373,PROTOCOL-ICMP PING Flowpoint2200 or Network Management Software,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Flowpoint2200 or Network Management Software""; itype:8; content:""|01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:373; rev:10; )"
144,374,PROTOCOL-ICMP PING IP NetMonitor Macintosh,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING IP NetMonitor Macintosh""; itype:8; content:""|A9| Sustainable So"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:374; rev:11; )"
146,376,PROTOCOL-ICMP PING Microsoft Windows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Microsoft Windows""; itype:8; content:""0123456789abcdefghijklmnop"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:376; rev:11; )"
147,377,PROTOCOL-ICMP PING Network Toolbox 3 Windows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Network Toolbox 3 Windows""; itype:8; content:""================"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:377; rev:11; )"
148,378,PROTOCOL-ICMP PING Ping-O-MeterWindows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Ping-O-MeterWindows""; itype:8; content:""OMeterObeseArmad"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:378; rev:11; )"
149,379,PROTOCOL-ICMP PING Pinger Windows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Pinger Windows""; itype:8; content:""Data|00 00 00 00 00 00 00 00 00 00 00 00|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:379; rev:11; )"
150,380,PROTOCOL-ICMP PING Seer Windows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Seer Windows""; itype:8; content:""|88 04|              "",depth 32; metadata:ruleset community; classtype:misc-activity; sid:380; rev:11; )"
152,382,PROTOCOL-ICMP PING Windows,included,"behavior_header,payload_positioned",combina cabecalho/fluxo com payload posicionado por offset/depth; todos os contents possuem offset/depth absoluto,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Windows""; itype:8; content:""abcdefghijklmnop"",depth 16; metadata:ruleset community; classtype:misc-activity; sid:382; rev:11; )"
153,384,PROTOCOL-ICMP PING,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING""; icode:0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:384; rev:8; )"
154,385,PROTOCOL-ICMP traceroute,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP traceroute""; itype:8; ttl:1; metadata:ruleset community; classtype:attempted-recon; sid:385; rev:8; )"
155,386,PROTOCOL-ICMP Address Mask Reply,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Address Mask Reply""; icode:0; itype:18; metadata:ruleset community; classtype:misc-activity; sid:386; rev:8; )"
156,387,PROTOCOL-ICMP Address Mask Reply undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Address Mask Reply undefined code""; icode:>0; itype:18; metadata:ruleset community; classtype:misc-activity; sid:387; rev:10; )"
157,388,PROTOCOL-ICMP Address Mask Request,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Address Mask Request""; icode:0; itype:17; metadata:ruleset community; classtype:misc-activity; sid:388; rev:8; )"
158,389,PROTOCOL-ICMP Address Mask Request undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Address Mask Request undefined code""; icode:>0; itype:17; metadata:ruleset community; classtype:misc-activity; sid:389; rev:10; )"
159,390,PROTOCOL-ICMP Alternate Host Address,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Alternate Host Address""; icode:0; itype:6; metadata:ruleset community; classtype:misc-activity; sid:390; rev:8; )"
160,391,PROTOCOL-ICMP Alternate Host Address undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Alternate Host Address undefined code""; icode:>0; itype:6; metadata:ruleset community; classtype:misc-activity; sid:391; rev:11; )"
161,392,PROTOCOL-ICMP Datagram Conversion Error,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Datagram Conversion Error""; icode:0; itype:31; metadata:ruleset community; classtype:misc-activity; sid:392; rev:8; )"
162,393,PROTOCOL-ICMP Datagram Conversion Error undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Datagram Conversion Error undefined code""; icode:>0; itype:31; metadata:ruleset community; classtype:misc-activity; sid:393; rev:11; )"
163,394,PROTOCOL-ICMP Destination Unreachable Destination Host Unknown,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Destination Host Unknown""; icode:7; itype:3; metadata:ruleset community; classtype:misc-activity; sid:394; rev:9; )"
164,395,PROTOCOL-ICMP Destination Unreachable Destination Network Unknown,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Destination Network Unknown""; icode:6; itype:3; metadata:ruleset community; classtype:misc-activity; sid:395; rev:9; )"
165,396,PROTOCOL-ICMP Destination Unreachable Fragmentation Needed and DF bit was set,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Fragmentation Needed and DF bit was set""; icode:4; itype:3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2004-0790; reference:cve,2005-0068; reference:cve,2015-7759; classtype:misc-activity; sid:396; rev:12; )"
166,397,PROTOCOL-ICMP Destination Unreachable Host Precedence Violation,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Host Precedence Violation""; icode:14; itype:3; metadata:ruleset community; classtype:misc-activity; sid:397; rev:9; )"
167,398,PROTOCOL-ICMP Destination Unreachable Host Unreachable for Type of Service,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Host Unreachable for Type of Service""; icode:12; itype:3; metadata:ruleset community; classtype:misc-activity; sid:398; rev:9; )"
168,399,PROTOCOL-ICMP Destination Unreachable Host Unreachable,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Host Unreachable""; icode:1; itype:3; metadata:ruleset community; classtype:misc-activity; sid:399; rev:9; )"
169,400,PROTOCOL-ICMP Destination Unreachable Network Unreachable for Type of Service,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Network Unreachable for Type of Service""; icode:11; itype:3; metadata:ruleset community; classtype:misc-activity; sid:400; rev:10; )"
170,401,PROTOCOL-ICMP Destination Unreachable Network Unreachable,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Network Unreachable""; icode:0; itype:3; metadata:ruleset community; classtype:misc-activity; sid:401; rev:9; )"
171,402,PROTOCOL-ICMP destination unreachable port unreachable packet detected,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP destination unreachable port unreachable packet detected""; icode:3; itype:3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2004-0790; reference:cve,2005-0068; classtype:misc-activity; sid:402; rev:16; )"
172,403,PROTOCOL-ICMP Destination Unreachable Precedence Cutoff in effect,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Precedence Cutoff in effect""; icode:15; itype:3; metadata:ruleset community; classtype:misc-activity; sid:403; rev:9; )"
173,404,PROTOCOL-ICMP Destination Unreachable Protocol Unreachable,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Protocol Unreachable""; icode:2; itype:3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,2004-0790; reference:cve,2005-0068; classtype:misc-activity; sid:404; rev:14; )"
174,405,PROTOCOL-ICMP Destination Unreachable Source Host Isolated,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Source Host Isolated""; icode:8; itype:3; metadata:ruleset community; classtype:misc-activity; sid:405; rev:9; )"
175,406,PROTOCOL-ICMP Destination Unreachable Source Route Failed,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable Source Route Failed""; icode:5; itype:3; metadata:ruleset community; classtype:misc-activity; sid:406; rev:9; )"
176,407,PROTOCOL-ICMP Destination Unreachable cndefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Destination Unreachable cndefined code""; icode:>15; itype:3; metadata:ruleset community; classtype:misc-activity; sid:407; rev:10; )"
177,408,PROTOCOL-ICMP Echo Reply,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Echo Reply""; icode:0; itype:0; metadata:ruleset community; classtype:misc-activity; sid:408; rev:8; )"
178,409,PROTOCOL-ICMP Echo Reply undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Echo Reply undefined code""; icode:>0; itype:0; metadata:ruleset community; classtype:misc-activity; sid:409; rev:10; )"
179,410,PROTOCOL-ICMP Fragment Reassembly Time Exceeded,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Fragment Reassembly Time Exceeded""; icode:1; itype:11; metadata:ruleset community; classtype:misc-activity; sid:410; rev:8; )"
180,411,PROTOCOL-ICMP IPV6 I-Am-Here,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 I-Am-Here""; icode:0; itype:34; metadata:ruleset community; classtype:misc-activity; sid:411; rev:8; )"
181,412,PROTOCOL-ICMP IPV6 I-Am-Here undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 I-Am-Here undefined code""; icode:>0; itype:34; metadata:ruleset community; classtype:misc-activity; sid:412; rev:10; )"
182,413,PROTOCOL-ICMP IPV6 Where-Are-You,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 Where-Are-You""; icode:0; itype:33; metadata:ruleset community; classtype:misc-activity; sid:413; rev:8; )"
183,414,PROTOCOL-ICMP IPV6 Where-Are-You undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 Where-Are-You undefined code""; icode:>0; itype:33; metadata:ruleset community; classtype:misc-activity; sid:414; rev:10; )"
184,415,PROTOCOL-ICMP Information Reply,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Information Reply""; icode:0; itype:16; metadata:ruleset community; classtype:misc-activity; sid:415; rev:8; )"
185,416,PROTOCOL-ICMP Information Reply undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $HOME_NET any -> $EXTERNAL_NET any ( msg:""PROTOCOL-ICMP Information Reply undefined code""; icode:>0; itype:16; metadata:ruleset community; classtype:misc-activity; sid:416; rev:10; )"
186,417,PROTOCOL-ICMP Information Request,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Information Request""; icode:0; itype:15; metadata:ruleset community; classtype:misc-activity; sid:417; rev:8; )"
187,418,PROTOCOL-ICMP Information Request undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Information Request undefined code""; icode:>0; itype:15; metadata:ruleset community; classtype:misc-activity; sid:418; rev:10; )"
188,419,PROTOCOL-ICMP Mobile Host Redirect,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Host Redirect""; icode:0; itype:32; metadata:ruleset community; classtype:misc-activity; sid:419; rev:8; )"
189,420,PROTOCOL-ICMP Mobile Host Redirect undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Host Redirect undefined code""; icode:>0; itype:32; metadata:ruleset community; classtype:misc-activity; sid:420; rev:10; )"
190,421,PROTOCOL-ICMP Mobile Registration Reply,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Reply""; icode:0; itype:36; metadata:ruleset community; classtype:misc-activity; sid:421; rev:8; )"
191,422,PROTOCOL-ICMP Mobile Registration Reply undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Reply undefined code""; icode:>0; itype:36; metadata:ruleset community; classtype:misc-activity; sid:422; rev:10; )"
192,423,PROTOCOL-ICMP Mobile Registration Request,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Request""; icode:0; itype:35; metadata:ruleset community; classtype:misc-activity; sid:423; rev:8; )"
193,424,PROTOCOL-ICMP Mobile Registration Request undefined code,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Mobile Registration Request undefined code""; icode:>0; itype:35; metadata:ruleset community; classtype:misc-activity; sid:424; rev:10; )"
194,425,PROTOCOL-ICMP Parameter Problem Bad Length,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Parameter Problem Bad Length""; icode:2; itype:12; metadata:ruleset community; classtype:misc-activity; sid:425; rev:9; )"
195,426,PROTOCOL-ICMP Parameter Problem Missing a Required Option,included,behavior_header,"usa apenas cabecalho, fluxo, flags ou metadados do pacote","alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Parameter Problem Missing a Required Option""; icode:1; itype:12; metadata:ruleset community; classtype:misc-activity; sid:426; rev:10; )"
