line,sid,msg,status,category,reason,rule
335,643,INDICATOR-SHELLCODE HP-UX NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE HP-UX NOOP""; content:""|0B|9|02 80 0B|9|02 80 0B|9|02 80 0B|9|02 80|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:643; rev:13; )"
336,644,INDICATOR-SHELLCODE sparc NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE sparc NOOP""; content:""|13 C0 1C A6 13 C0 1C A6 13 C0 1C A6 13 C0 1C A6|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:644; rev:11; )"
337,645,INDICATOR-SHELLCODE sparc NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE sparc NOOP""; content:""|80 1C|@|11 80 1C|@|11 80 1C|@|11 80 1C|@|11|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:645; rev:11; )"
338,646,INDICATOR-SHELLCODE sparc NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE sparc NOOP""; content:""|A6 1C C0 13 A6 1C C0 13 A6 1C C0 13 A6 1C C0 13|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:646; rev:11; )"
339,647,INDICATOR-SHELLCODE Oracle sparc setuid 0,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE Oracle sparc setuid 0""; content:""|82 10| |17 91 D0| |08|"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; classtype:system-call-detect; sid:647; rev:15; )"
340,648,INDICATOR-SHELLCODE x86 NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE x86 NOOP""; content:""|90 90 90 90 90 90 90 90 90 90 90 90 90 90|"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; classtype:shellcode-detect; sid:648; rev:18; )"
341,649,INDICATOR-SHELLCODE x86 setgid 0,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE x86 setgid 0""; content:""|B0 B5 CD 80|"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; classtype:system-call-detect; sid:649; rev:15; )"
342,650,INDICATOR-SHELLCODE x86 setuid 0,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE x86 setuid 0""; content:""|B0 17 CD 80|"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; classtype:system-call-detect; sid:650; rev:15; )"
343,652,INDICATOR-SHELLCODE Linux shellcode,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE Linux shellcode""; content:""|90 90 90 E8 C0 FF FF FF|/bin/sh"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:652; rev:15; )"
848,1388,OS-WINDOWS Microsoft Windows UPnP Location overflow attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; pcre sem ancora de intervalo reconhecida pelo script,"alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""OS-WINDOWS Microsoft Windows UPnP Location overflow attempt""; content:""Location"",fast_pattern,nocase; pcre:""/^Location\s*\x3a\s*\w+\x3a\/\/([^\n]*\x3a)?[^\n]{128}/ims""; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,3723; reference:cve,2001-0876; reference:cve,2007-2386; reference:nessus,10829; reference:url,technet.microsoft.com/en-us/security/bulletin/MS01-059; classtype:misc-attack; sid:1388; rev:23; )"
849,1390,INDICATOR-SHELLCODE x86 inc ebx NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE x86 inc ebx NOOP""; content:""CCCCCCCCCCCCCCCCCCCCCCCC""; metadata:policy max-detect-ips drop,ruleset community; classtype:shellcode-detect; sid:1390; rev:17; )"
851,1394,INDICATOR-SHELLCODE x86 inc ecx NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE x86 inc ecx NOOP""; content:""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""; metadata:ruleset community; classtype:shellcode-detect; sid:1394; rev:17; )"
880,1426,PROTOCOL-SNMP PROTOS test-suite-req-app attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""PROTOCOL-SNMP PROTOS test-suite-req-app attempt""; content:""0&|02 01 00 04 06|public|A0 19 02 01 00 02 01 00 02 01 00|0|0E|0|0C 06 08|+|06 01 02 01 01 05 00 05 00|"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:url,www.ee.oulu.fi/research/ouspg/protos/testing/c06/snmpv1/index.html; classtype:misc-attack; sid:1426; rev:14; )"
881,1427,PROTOCOL-SNMP PROTOS test-suite-trap-app attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET any -> $HOME_NET 162 ( msg:""PROTOCOL-SNMP PROTOS test-suite-trap-app attempt""; content:""08|02 01 00 04 06|public|A4|+|06|"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:url,www.ee.oulu.fi/research/ouspg/protos/testing/c06/snmpv1/index.html; classtype:misc-attack; sid:1427; rev:13; )"
1214,1813,PROTOCOL-ICMP digital island bandwidth query,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP digital island bandwidth query""; content:""mailto|3A|ops@digisle.com"",depth 22; metadata:ruleset community; classtype:misc-activity; sid:1813; rev:9; )"
1279,1882,INDICATOR-COMPROMISE id check returned userid,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; pcre sem ancora de intervalo reconhecida pelo script,"alert ip $HOME_NET any -> $EXTERNAL_NET any ( msg:""INDICATOR-COMPROMISE id check returned userid""; content:""uid="",nocase; content:"" gid="",distance 0; pcre:""/uid=\d{1,5}\S+\s+gid=\d{1,5}/ims""; metadata:policy max-detect-ips drop,ruleset community; classtype:bad-unknown; sid:1882; rev:20; )"
1282,1889,MALWARE-CNC slapper worm admin traffic,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET 2002 -> $HOME_NET 2002 ( msg:""MALWARE-CNC slapper worm admin traffic""; content:""|00 00|E|00 00|E|00 00|@|00|"",depth 10; metadata:ruleset community; reference:url,isc.incidents.org/analysis.html?id=167; reference:url,www.cert.org/advisories/CA-2002-27.html; classtype:trojan-activity; sid:1889; rev:10; )"
1285,1892,PROTOCOL-SNMP null community string attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""PROTOCOL-SNMP null community string attempt""; content:""|04 01 00|"",depth 15,offset 5; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,2112; reference:bugtraq,8974; reference:cve,1999-0517; classtype:misc-attack; sid:1892; rev:14; )"
1286,1893,PROTOCOL-SNMP missing community string attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; pcre sem ancora de intervalo reconhecida pelo script,"alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""PROTOCOL-SNMP missing community string attempt""; content:""0"",depth 1; content:""|02|"",within 6; content:""|04 00|"",within 8; pcre:""/^\x30(\x84....|\x82..|[^\x80-\xFF])\x02(\x84\x00\x00\x00\x01.|\x82\x00\x01.|\x01.)\x04\x00/""; metadata:policy max-detect-ips drop,ruleset community; service:snmp; reference:bugtraq,2112; reference:cve,1999-0517; classtype:misc-attack; sid:1893; rev:13; )"
1346,1957,PROTOCOL-RPC sadmind UDP PING,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-RPC sadmind UDP PING""; content:""|00 01 87 88|"",depth 4,offset 12; content:""|00 00 00 00|"",within 4,distance 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,866; reference:cve,1999-0977; reference:nessus,10229; classtype:protocol-command-decode; sid:1957; rev:16; )"
1348,1959,PROTOCOL-RPC portmap NFS request UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 111 ( msg:""PROTOCOL-RPC portmap NFS request UDP""; content:""|00 01 86 A0|"",depth 4,offset 12; content:""|00 00 00 03|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|00 01 86 A3|"",within 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; service:sunrpc; classtype:rpc-portmap-decode; sid:1959; rev:14; )"
1350,1961,PROTOCOL-RPC portmap RQUOTA request UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 111 ( msg:""PROTOCOL-RPC portmap RQUOTA request UDP""; content:""|00 01 86 A0|"",depth 4,offset 12; content:""|00 00 00 03|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|00 01 86 AB|"",within 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; service:sunrpc; classtype:rpc-portmap-decode; sid:1961; rev:14; )"
1352,1963,PROTOCOL-RPC RQUOTA getquota overflow attempt UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-RPC RQUOTA getquota overflow attempt UDP""; content:""|00 01 86 AB|"",depth 4,offset 12; content:""|00 00 00 01|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; byte_test:4,>,128,0,relative; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,864; reference:cve,1999-0974; classtype:misc-attack; sid:1963; rev:15; )"
1432,2043,INDICATOR-SCAN isakmp login failed,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $HOME_NET 500 -> $EXTERNAL_NET 500 ( msg:""INDICATOR-SCAN isakmp login failed""; content:""|10 05|"",depth 2,offset 17; content:""|00 00 00 01 01 00 00 18|"",within 8,distance 13; metadata:policy max-detect-ips drop,ruleset community; reference:url,attack.mitre.org/techniques/T1018; reference:url,attack.mitre.org/techniques/T1040; reference:url,attack.mitre.org/techniques/T1046; classtype:misc-activity; sid:2043; rev:8; )"
1475,2088,PROTOCOL-RPC ypupdated arbitrary command attempt UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-RPC ypupdated arbitrary command attempt UDP""; content:""|00 01 86 BC|"",depth 4,offset 12; content:""|00 00 00 01|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|7C|"",distance 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,policy security-ips drop,ruleset community; reference:bugtraq,1749; reference:bugtraq,28383; reference:cve,1999-0208; classtype:misc-attack; sid:2088; rev:17; )"
1613,2257,OS-WINDOWS DCERPC Messenger Service buffer overflow attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 135 ( msg:""OS-WINDOWS DCERPC Messenger Service buffer overflow attempt""; content:""|04 00|"",depth 2; byte_test:1,>,15,2,relative; byte_jump:4,86,relative,little,align; byte_jump:4,8,relative,little,align; byte_test:4,>,1024,0,relative,little; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,8826; reference:cve,2003-0717; reference:nessus,11888; reference:nessus,11890; reference:url,technet.microsoft.com/en-us/security/bulletin/MS03-043; classtype:attempted-admin; sid:2257; rev:16; )"
1791,2462,SERVER-OTHER Ethereal IGMP IGAP account overflow attempt,discarded,unsupported_payload_scan,usa operador de payload sem intervalo absoluto reconhecido,"alert ip any any -> any any ( msg:""SERVER-OTHER Ethereal IGMP IGAP account overflow attempt""; ip_proto:2; byte_test:1,>,63,0; byte_test:1,<,67,0; byte_test:1,>,16,12; metadata:ruleset community; reference:bugtraq,9952; reference:cve,2004-0176; reference:cve,2004-0367; classtype:attempted-admin; sid:2462; rev:10; )"
1792,2463,SERVER-OTHER Ethereal IGMP IGAP message overflow attempt,discarded,unsupported_payload_scan,usa operador de payload sem intervalo absoluto reconhecido,"alert ip any any -> any any ( msg:""SERVER-OTHER Ethereal IGMP IGAP message overflow attempt""; ip_proto:2; byte_test:1,>,63,0; byte_test:1,<,67,0; byte_test:1,>,64,13; metadata:ruleset community; reference:bugtraq,9952; reference:cve,2004-0176; reference:cve,2004-0367; classtype:attempted-admin; sid:2463; rev:10; )"
1793,2464,SERVER-OTHER Ethereal EIGRP prefix length overflow attempt,discarded,unsupported_payload_scan,usa operador de payload sem intervalo absoluto reconhecido,"alert ip any any -> any any ( msg:""SERVER-OTHER Ethereal EIGRP prefix length overflow attempt""; ip_proto:88; byte_test:1,>,32,44; metadata:ruleset community; reference:bugtraq,9952; reference:cve,2004-0176; reference:cve,2004-0367; classtype:attempted-admin; sid:2464; rev:10; )"
1803,2511,OS-WINDOWS DCERPC NCADG-IP-UDP lsass DsRolerUpgradeDownlevelServer overflow attempt,discarded,unsupported_payload_scan,usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,138,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP lsass DsRolerUpgradeDownlevelServer overflow attempt""; dce_iface:uuid 3919286a-b10c-11d0-9ba8-00c04fd92ef5; dce_opnum:""9""; dce_stub_data; byte_test:4,>,256,0,dce; metadata:policy max-detect-ips drop,ruleset community; service:netbios-dgm; reference:bugtraq,10108; reference:cve,2003-0533; reference:nessus,12205; reference:url,technet.microsoft.com/en-us/security/bulletin/MS04-011; classtype:attempted-admin; sid:2511; rev:22; )"
1823,2563,NETBIOS NS lookup response name overflow attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET 137 -> $HOME_NET 137 ( msg:""NETBIOS NS lookup response name overflow attempt""; byte_test:1,&,0x80,2; content:""|00 01|"",depth 2,offset 6; byte_test:1,>,32,12; metadata:policy max-detect-ips drop,ruleset community; service:netbios-ns; reference:bugtraq,10333; reference:cve,2004-0444; reference:url,www.eeye.com/html/Research/Advisories/AD20040512A.html; classtype:attempted-admin; sid:2563; rev:8; )"
2252,3159,OS-WINDOWS DCERPC NCADG-IP-UDP ISystemActivator CoGetInstanceFromFile attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP ISystemActivator CoGetInstanceFromFile attempt""; dce_iface:uuid 000001a0-0000-0000-c000-000000000046; dce_opnum:""1""; dce_stub_data; content:""|01 10 08 00 CC CC CC CC|""; content:""|5C 00 5C 00|"",distance 0; byte_test:4,>,256,-8,relative,dce; metadata:policy max-detect-ips drop,ruleset community; service:dcerpc; reference:cve,2003-0715; reference:url,technet.microsoft.com/en-us/security/bulletin/ms03-039; classtype:protocol-command-decode; sid:3159; rev:17; )"
2253,3171,OS-WINDOWS DCERPC NCADG-IP-UDP msqueue function 4 overflow attempt,discarded,unsupported_payload_scan,usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP msqueue function 4 overflow attempt""; dce_iface:uuid 975201b0-59ca-11d0-a8d5-00a0c90d8051; dce_opnum:""4""; dce_stub_data; byte_test:4,>,128,8,dce; metadata:policy max-detect-ips drop,policy security-ips drop,ruleset community; service:dcerpc; reference:cve,2005-0059; reference:url,technet.microsoft.com/en-us/security/bulletin/MS05-017; classtype:attempted-admin; sid:3171; rev:16; )"
2258,3196,OS-WINDOWS name query overflow attempt UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 137 ( msg:""OS-WINDOWS name query overflow attempt UDP""; byte_test:1,&,64,2; content:"" "",offset 12; isdataat:56,relative; metadata:policy max-detect-ips drop,ruleset community; service:netbios-ns; reference:bugtraq,9624; reference:cve,2003-0825; reference:nessus,15912; reference:url,technet.microsoft.com/en-us/security/bulletin/ms04-006; classtype:attempted-admin; sid:3196; rev:9; )"
2263,3234,OS-WINDOWS Messenger message little endian overflow attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 135 ( msg:""OS-WINDOWS Messenger message little endian overflow attempt""; content:""|04 00|"",depth 2; byte_test:1,&,16,2,relative; content:""|F8 91|{Z|00 FF D0 11 A9 B2 00 C0|O|B6 E6 FC|"",within 16,distance 22; content:""|00 00|"",within 2,distance 28; byte_jump:4,18,relative,little,align; byte_jump:4,8,relative,little,align; byte_test:4,>,1024,8,relative,little; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,8826; reference:cve,2003-0717; classtype:attempted-admin; sid:3234; rev:6; )"
2264,3235,OS-WINDOWS Messenger message overflow attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 135 ( msg:""OS-WINDOWS Messenger message overflow attempt""; content:""|04 00|"",depth 2; byte_test:1,!&,16,2,relative; content:""|F8 91|{Z|00 FF D0 11 A9 B2 00 C0|O|B6 E6 FC|"",within 16,distance 22; content:""|00 00|"",within 2,distance 28; byte_jump:4,18,relative,align; byte_jump:4,8,relative,align; byte_test:4,>,1024,8,relative; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,8826; reference:cve,2003-0717; classtype:attempted-admin; sid:3235; rev:6; )"
2266,3239,OS-WINDOWS DCERPC NCADG-IP-UDP irot IrotIsRunning/Revoke overflow attempt,discarded,unsupported_payload_scan,pcre sem ancora de intervalo reconhecida pelo script; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP irot IrotIsRunning/Revoke overflow attempt""; dce_iface:uuid b9e79e60-3d52-11ce-aaa1-00006901293f; dce_opnum:""1-2""; dce_stub_data; pcre:""/^(\x00\x00\x00\x00|.{12})/s""; byte_jump:4,-4,relative,dce,align; byte_test:4,>,1024,0,relative,dce; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,6005; reference:cve,2002-1561; reference:url,technet.microsoft.com/en-us/security/bulletin/ms03-010; classtype:attempted-admin; sid:3239; rev:15; )"
2270,3398,OS-WINDOWS DCERPC NCADG-IP-UDP ISystemActivator RemoteCreateInstance attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET [135,1024:] ( msg:""OS-WINDOWS DCERPC NCADG-IP-UDP ISystemActivator RemoteCreateInstance attempt""; dce_iface:uuid 000001a0-0000-0000-c000-000000000046; dce_opnum:""4""; dce_stub_data; content:""|01 10 08 00 CC CC CC CC|""; content:""|5C 00 5C 00|"",distance 0; byte_test:4,>,256,-8,relative,dce; metadata:policy max-detect-ips drop,ruleset community; service:dcerpc; reference:bugtraq,8205; reference:cve,2003-0352; reference:cve,2003-0715; reference:url,technet.microsoft.com/en-us/security/bulletin/MS03-026; reference:url,technet.microsoft.com/en-us/security/bulletin/MS03-039; classtype:protocol-command-decode; sid:3398; rev:17; )"
3691,46847,OS-LINUX Red Hat NetworkManager DHCP client command injection attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; pcre sem ancora de intervalo reconhecida pelo script,"alert udp any 67 -> $HOME_NET 68 ( msg:""OS-LINUX Red Hat NetworkManager DHCP client command injection attempt""; content:""|63 82 53 63 35|""; content:""|FC|"",within 50; pcre:""/([\xfc]).{0,50}([\x27])([\x20\x26\x3b\x7c]|[\x3c\x3e\x24]\x28)+/i""; metadata:policy max-detect-ips drop,ruleset community; service:dhcp; reference:cve,2018-1111; reference:url,access.redhat.com/security/cve/cve-2018-1111; classtype:attempted-user; sid:46847; rev:1; )"
